;;;;;;;;;;;;;;;;;
;TIPO;ANO;LEI / NORMA;OBJETIVO;TEMA;"Aplic†vel Ö 
IP CREDENCIADOR";"Aplic†vel Ö 
IP EME";"Aplic†vel Ö 
IF SCD";"Aplic†vel Ö 
TAG";Aplic†vel Ö pelo menos uma das 4;OBSERVAÄ«O;BASE LEGAL;VIGOR;;;;
;Resoluá∆o CMN;out/19;Resoluá∆o 4.757/19;Ajusta normas referentes aos crÇditos de investimento para construá∆o ou reforma de moradias no im¢vel rural, de que trata a Seá∆o 5 do Cap°tulo 10 (Programa Nacional de Fortalecimento da Agricultura Familiar - Pronaf) do Manual de CrÇdito Rural (MCR).;CrÇdito Rural;N∆o ;N∆o ;N∆o ;N∆o ;N∆o;SCD n∆o atua nesse segmento;O Banco Central do Brasil, na forma do art. 9ß da Lei nß 4.595, de 31 de dezembro de 1964, torna p£blico que o Conselho Monet†rio Nacional, em sess∆o realizada em 24 de outubro de 2019, de acordo com os arts. 4ß, inciso VI, da Lei nß 4.595, de 1964, 4ß e 14 da Lei nß 4.829, de 5 de novembro de 1965, e ı 3ß do art. 3ß da Lei nß 11.326, de 24 de julho de 2006,;;;;;
;Resoluá∆o CMN;out/19;Resoluá∆o 4.758/19;Eleva o limite para o benefici†rio pessoa f°sica e o limite individual por associado da cooperativa singular nos financiamentos ao amparo da Seá∆o 11 (CrÇdito de industrializaá∆o para Agroind£stria Familiar) do Cap°tulo 10 (Programa Nacional de Fortalecimento da Agricultura Familiar - Pronaf) do Manual de CrÇdito Rural (MCR).;CrÇdito Rural;N∆o ;N∆o ;N∆o ;N∆o ;N∆o;SCD n∆o atua nesse segmento;O Banco Central do Brasil, na forma do art. 9ß da Lei nß 4.595, de 31 de dezembro de 1964, torna p£blico que o Conselho Monet†rio Nacional, em sess∆o realizada em 24 de outubro de 2019, de acordo com os arts. 4ß, inciso VI, da Lei nß 4.595, de 1964, 4ß e 14 da Lei nß 4.829, de 5 de novembro de 1965, e 3ß, ı 3ß, da Lei nß 11.326, de 24 de julho de 2006,;;;;;
;Resoluá∆o CMN;out/19;Resoluá∆o 4.759/19;Ajusta normas a serem aplicadas Ös operaá‰es contratadas no Émbito do Programa Nacional de Fortalecimento da Agricultura Familiar (Pronaf) de que trata a Seá∆o 18 do Cap°tulo 10 do Manual de CrÇdito Rural (MCR).;CrÇdito Rural;N∆o ;N∆o ;N∆o ;N∆o ;N∆o;SCD n∆o atua nesse segmento;O Banco Central do Brasil, na forma do art. 9ß da Lei nß 4.595, de 31 de dezembro de 1964, torna p£blico que o Conselho Monet†rio Nacional, em sess∆o realizada em 24 de outubro de 2019, de acordo com os arts. 4ß, inciso VI, da Lei nß 4.595, de 1964, 4ß e 14 da Lei nß 4.829, de 5 de novembro de 1965, e 3ß, ı 3ß, da Lei nß 11.326, de 24 de julho de 2006,;;;;;
;Carta Circular BCB;out/19;Carta Circular 3.981/19;Disp‰e sobre a remessa de demonstraá‰es financeiras individuais e consolidadas, anuais, semestrais e intermedi†rias, para fins de constituiá∆o da Central de Demonstraá‰es Financeiras do Sistema Financeiro Nacional, de que trata a Circular nß 3.964, de 25 de setembro de 2019.;Contabilidade;Sim;Sim;Sim;;Sim;"Devemos remeter:
- AtÇ o dia 30/11/19 os documentos relativos Ös dfs semestrais e intermedi†rias de publicaá∆o ou divulgaá∆o obrigat¢ria durante o ano de 2019; e
- AtÇ 30/06/20, os documentos relativos Ös dfs semestral e intermedi†rias de publicaá∆o ou divulgaá∆o obrigat¢ria relativas Ös datas-base compreendidas no per°odo de janeiro de 2014 a dezembro de 2018.

ı 1ß Os documentos relativos Ös demonstraá‰es financeiras semestral e intermedi†rias de publicaá∆o ou divulgaá∆o obrigat¢ria durante o ano de 2019 devem ser remetidos atÇ 30 de novembro de 2019.
ı 2ß Os documentos relativos Ös demonstraá‰es financeiras anuais, semestrais e intermedi†rias de publicaá∆o ou divulgaá∆o obrigat¢ria relativas Ös datas-base compreendidas no per°odo de janeiro de 2014 a dezembro de 2018 devem ser remetidos atÇ 30 de junho de 2020.
ı 3ß Fica facultada a remessa das demonstraá‰es relativas aos per°odos de que tratam os ıı 1ß e 2ß pelas instituiá‰es integrantes do Segmento 5 (S5).";O Chefe do Departamento de Monitoramento do Sistema Financeiro (Desig), no uso da atribuiá∆o que lhe confere o art. 23, inciso I, al°nea ?a?, do Regimento Interno do Banco Central do Brasil, anexo Ö Portaria nß 84.287, de 27 de fevereiro de 2015, com base no art. 77, inciso III, do referido Regimento, e tendo em vista o disposto na Lei nß 6.404, de 15 de dezembro de 1976, nas Resoluá‰es ns. 3.786, de 24 de setembro de 2009, 4.280, de 31 de outubro de 2013, 4.720, de 30 de maio de 2019, e nas Circulares ns. 3.959, de 4 de setembro de 2019, e 3.964, de 25 de setembro de 2019,;;;;;
;Carta Circular BCB;out/19;Carta Circular 3.982/19;Disp‰e sobre o cadastramento das pessoas Jur°dicas n∆o financeiras e dos fundos de investimentos pertencentes a conglomerados prudenciais no Sistema de Informaá‰es sobre Entidades de Interesse do Banco Central - Unicad.;Unicad;Sim;Sim;Sim;Sim;Sim;Institui a obrigatoriedade de vinculaá∆o,no UNICAD, aos  respectivos conglomerados prudenciais, das pessoas jur°dicas n∆o financeiras e dos fundos de investimentos, localizados no Pa°s ou no exterior, que integrem as demonstraá‰es cont†beis consolidadas mencionadas no art. 2ß da Resoluá∆o nß 4.280, de 31 de outubro de 2013.;O Chefe do Departamento de Monitoramento do Sistema Financeiro (Desig), no uso da atribuiá∆o que lhe confere o art. 23, inciso I, al°nea ?a?, do Regimento Interno do Banco Central do Brasil, anexo Ö Portaria nß 84.287, de 27 de fevereiro de 2015, com base no art. 77, inciso III, do referido Regimento, e tendo em vista o disposto na Resoluá∆o nß 4.280, de 31 de outubro de 2013, na Circular nß 3.165, de 4 de dezembro de 2002, e na Carta Circular nß 3.066, de 13 de dezembro de 2002,;;;;;
;Carta Circular BCB;nov/19;Carta Circular 3.983/19;Cria, altera e exclui rubricas cont†beis no Plano Cont†bil das Instituiá‰es do Sistema Financeiro Nacional para controle das operaá‰es de microcrÇdito por meio de contas de compensaá∆o.;Contabilidade;N∆o ;N∆o ;Sim;;Sim;Contabilizaá∆o de microcrÇdito.;"O Chefe do Departamento de Regulaá∆o do Sistema Financeiro (Denor), no uso da atribuiá∆o que lhe confere o art. 23, inciso I, al°nea ""a"", do Regimento Interno do Banco Central do Brasil, anexo Ö Portaria nß 84.287, de 27 de fevereiro de 2015, com base no item 4 da Circular nß 1.540, de 6 de outubro de 1989, e no art. 7ß da Resoluá∆o nß 4.713, de 28 de maráo de 2019,";;;;;
;Carta Circular BCB;nov/19;Carta Circular 3.984/19;Divulga procedimentos para aferiá∆o do cumprimento da exigibilidade de aplicaá∆o de dep¢sitos Ö vista, captados pelas instituiá‰es financeiras, em operaá‰es de microcrÇdito produtivo orientado, e estabelece procedimentos para a remessa de informaá‰es relativas Ös mencionadas operaá‰es.;Operaá‰es de MicrocrÇdito;N∆o ;N∆o ;N∆o ;;N∆o;;O Chefe do Departamento de Operaá‰es Banc†rias e de Sistema de Pagamentos (Deban), no uso da atribuiá∆o que lhe confere o art. 23, inciso I, al°nea ?a?, do Regimento Interno do Banco Central do Brasil, anexo Ö Portaria nß 84.287, de 27 de fevereiro de 2015, e tendo em vista o disposto na Resoluá∆o nß 4.713, de 28 de maráo de 2019, e na Resoluá∆o nß 4.050, de 26 de janeiro de 2012,;;;;;
;Carta Circular BCB;nov/19;Carta Circular 3.985/19;Esclarece sobre procedimentos para execuá∆o da rotina de otimizaá∆o de liquidaá∆o no Sistema de Transferància de Reservas (STR).;STR - Conta de Liquidaá∆o;Sim;Sim;N∆o*;N∆o ;Sim;"Alpic†vel apenas Ös IPs e SCDS que abrirem conta de liquidaá∆o e participarem do STR.

Procedimentos no STR.";O Chefe do Departamento de Operaá‰es Banc†rias e de Sistema de Pagamentos (Deban), no uso das atribuiá‰es conferidas pelo art. 23, inciso I, al°nea ?a?, do Regimento Interno do Banco Central do Brasil, anexo Ö Portaria nß 84.287, de 27 de fevereiro de 2015, e tendo em conta o disposto no art. 4ß da Circular nß 3.100, de 28 de maráo de 2002, e no art. 37 do Regulamento do STR anexo Ö referida Circular,;;;;;
;Carta Circular BCB;nov/19;Carta Circular 3.986/19;D† nova redaá∆o Ö Carta Circular nß 3.961, de 25 de julho de 2019, que altera o Leiaute e as Instruá‰es de Preenchimento do Documento 3040 - Dados de Risco de CrÇdito, de que tratam a Circular nß 3.870, de 19 de dezembro de 2017, e a Carta Circular nß 3.869, de 19 de maráo de 2018.;Contabilidade;Sim;Sim;Sim;;Sim;As informaá‰es relativas Ös operaá‰es de crÇdito concedidas pelas instituiá‰es e entidades, que sejam objeto de negociaá∆o sem retená∆o de riscos e benef°cios ou de controle, no pr¢prio màs da concess∆o, devem ser fornecidas ao Sistema de Informaá‰es de CrÇditos (SCR) pela instituiá∆o cedente a partir da data-base de novembro de 2019, conforme previsto no par†grafo £nico do art. 6ß da Circular 3.870.;O Chefe do Departamento de Monitoramento do Sistema Financeiro (Desig), no uso da atribuiá∆o que lhe confere o art. 23, inciso I, al°nea ?a?, do Regimento Interno do Banco Central do Brasil, anexo Ö Portaria nß 84.287, de 27 de fevereiro de 2015, com base no art. 77, inciso III, do referido Regimento, e tendo em vista o disposto na Resoluá∆o nß 4.571, de 26 de maio de 2017, na Circular nß 3.870, de 19 de dezembro de 2017, e na Carta Circular nß 3.869, de 19 de maráo de 2018,;;;;;
;Carta Circular BCB;nov/19;Carta Circular 3.987/19;Altera as Instruá‰es de preenchimento do documento de c¢digo 2061 - Demonstrativo de Limites Operacionais (DLO), de que trata a Carta Circular nß 3.663, de 27 de junho de 2014.;Contabilidade;N∆o ;N∆o ;Sim;;Sim;Apesar da inaplicabilidade das regras de Basileia que requerem o recolhimento de capital, Ç importante permanerecermos atendos Ö norma.;O Chefe do Departamento de Monitoramento do Sistema Financeiro (Desig) no uso da atribuiá∆o que lhe confere o art. 23, inciso I, al°nea ?a?, do Regimento Interno do Banco Central do Brasil, anexo Ö Portaria nß 84.287, de 27 de fevereiro de 2015, com base no art. 77, inciso III, do referido Regimento, e tendo em vista o disposto nas Resoluá‰es ns. 4.192 e 4.193, ambas de 1ß de maráo de 2013, e nas Circulares ns. 3.398, de 23 de julho de 2008, 3.644, de 4 de maráo de 2013, e 3.949, de 25 de junho de 2019, e na Carta Circular nß 3.978, de 7 de outubro de 2019,;;;;;
;Comunicado BCB;nov/19;Comunicado 34.650/19;Comunica a alteraá∆o e a publicaá∆o do Dicion†rio de Dom°nios associado ao Cat†logo de Serviáos do SFN.;Cat†logo de Serviáos do SFN;Sim;Sim;N∆o*;N∆o ;Sim;Aplic†vel  Ö IP e SCD que possua conta de liquidaá∆o e participe do STR.;;;;;;
;Comunicado BCB;nov/19;Comunicado 34.669/19;Divulga a relaá∆o dos componentes organizacionais do Departamento de Organizaá∆o do Sistema Financeiro (Deorf) aos quais devem ser apresentados os documentos e as informaá‰es necess†rios Ö instruá∆o de pleitos relativos Ös autorizaá‰es que especifica.;SFN;REVOGADA;REVOGADA;REVOGADA;REVOGADA;REVOGADA;Apesar da norma ser aplic†vel n∆o tem implicaá‰es.;;;;;;
;Circular BCB;nov/19;Circular 3.969/19;Altera a Circular nß 3.909, de 16 de agosto de 2018, que disp‰e sobre a pol°tica de seguranáa cibernÇtica e sobre os requisitos para a contrataá∆o de serviáos de processamento e armazenamento de dados e de computaá∆o em nuvem a serem observados pelas instituiá‰es de pagamento autorizadas a funcionar pelo Banco Central do Brasil.;Seguranáa CibernÇtica;"Sim
Altera norma aplic†vel";"Sim
Altera norma aplic†vel";N∆o ;;Sim;Altera norma vigente.;A Diretoria Colegiada do Banco Central do Brasil, em sess∆o realizada em 13 de novembro de 2019, com base nos arts. 9ß, 10 e 15 da Lei nß 12.865, de 9 de outubro de 2013, e tendo em vista o art. 14 da Resoluá∆o nß 4.282, de 4 de novembro de 2013,;;;;;
;Comunicado BCB;nov/19;Comunicado 34.708/19;Comunica a revogaá∆o da suspens∆o da remessa do documento 3026 - Dados Individualizados Complementares de Risco de CrÇdito e estabelece nova data para sua remessa.;Contabilidade;N∆o ;N∆o ;Sim;;Sim;Segundo as instruá‰es de preenchimento do documento 3026, o documento deve ser remetido pelas instituiá‰es citadas no art. 4ß da Resoluá∆o 3.658/08 e a SCD n∆o Ç uma das instituiá‰es listadas neste dispositivo. Entretanto, a Resoluá∆o 3.658/08 foi revogada pela Resoluá∆o 4.571/17, a qual, pela inclus∆o do inciso XX em seu art. 4ß, passou a incluir as SCDs a partir de 2018 (Alteraá∆o em raz∆o da Resoluá∆o 4.656/18).;;;;;;
;Comunicado BCB;nov/19;Comunicado 34.782/19;Divulga o percentual e o limite m†ximo de taxa de juros para os contratos firmados a taxas prefixadas no Émbito do Sistema Financeiro da Habitaá∆o (SFH) com vigància em dezembro de 2019.;Habitaá∆o;N∆o ;N∆o ;N∆o ;N∆o ;N∆o;;;;;;;
;Comunicado BCB;nov/19;Comunicado 34.715/19;Comunica a atualizaá∆o de certificados digitais do Banco Central do Brasil para uso exclusivo nas mensagerias dos dom°nios MES e SPB, no ambiente de homologaá∆o, na Rede do Sistema Financeiro Nacional (RSFN).;SFN;Sim*;Sim*;N∆o*;N∆o ;Sim;"Aplic†vel  Ö IP e SCD que possua conta de liquidaá∆o e participe do STR.

Os certificados digitais s∆o de uso exclusivo dos participantes da RSFN que utilizam o MQ como meio de transmiss∆o de mensagens.";;;;;;
;Comunicado BCB;nov/19;Comunicado 34.724/19;Divulga o valor do Adicional Contrac°clico de Capital Principal relativo ao Brasil (ACCPBrasil).;Contabilidade;N∆o ;N∆o ;N∆o ;;N∆o;"O ACPcontrac°clico foi incorporado Ö legislaá∆o brasileira por meio da Resoluá∆o 4.193/13. O ACCP Ç definido com base no monitoramento cont°nuo do desenvolvimento do mercado de crÇdito, da evoluá∆o dos preáos de ativos e de outras informaá‰es quantitativas e qualitativas do SFN. Na Circular 3.769/15 o BCB ficou em 0% o valor do adicional contac°clico de capital sobre riscos de crÇdito ao setor privado n∆o banc†rio asumidos no Brasil a ser observado pelas instituiá‰es financeiras. O Comunicado 34.724/19 divulga o valor do ACCP que se mantÇm em 0%.
Segundo o art. 8ß da Resoluá∆o 4.193/13, sujeitam-se ao cumprimento das parcelas ACPconservaá∆o e ACPcontrac°clico as instituiá‰es de que trata o art. 1ß, ou seja, instituiá‰es financeirase demais instituiá‰es autorizadas a funcionar pelo BCB.";;;;;;
;Decreto-Lei;nov/19;Decreto 10.122/19;Institui o Comità Nacional de Iniciativas de Apoio a Start-ups.;Start-Ups;Sim;Sim;Sim;;Sim;Norma interessante que deve ser acompanhada, podendo beneficiar nosso neg¢cio.;;;;;;
;Resoluá∆o CMN;nov/19;Resoluá∆o 4.760/19;Institui linha de crÇdito com recursos do Banco Nacional de Desenvolvimento Econìmico e Social (BNDES) destinada a empresas cerealistas para nanciamento de investimento em obras civis e na aquisiá∆o de m†quinas e equipamento  necess†rios Ö construá∆o de armazÇns e Ö expans∆o da capacidade de armazenagem de gr∆os.;BNDES;N∆o ;N∆o ;N∆o ;N∆o ;N∆o;;O Banco Central do Brasil, na forma do art. 9ß da Lei nß 4.595, de 31 de dezembro de 1964, torna p£blico que o Conselho Monet†rio Nacional, em sess∆o realizada em 27 de novembro de 2019, tendo em vista as disposiá‰es do art. 45 da Medida Provis¢ria nß 897, de 1ß de outubro de 2019,;;;;;
;Resoluá∆o CMN;nov/19;Resoluá∆o 4.761/19;Altera o Anexo II da Resoluá∆o nß 4.373, de 29 de setembro de 2014, que disp‰e sobre aplicaá‰es de investidor n∆o residente no Brasil nos mercados financeiro e de capitais no Pa°s e d† outras providàncias;Investidor N∆o Residente;N∆o ;N∆o ;N∆o ;;N∆o;Compliance - Luiza: Entende como aplic†vel: A Resoluá∆o 7.373 disp‰e no art. 2ß que os certificados emitidos no exterior por instituiá∆o deposit†ria ser† representativo dos ativos (i) valores mobili†rios emitidos por companhias abertas, brasileiras e t°tulos de crÇdito eleg°veis a compor o PR emitidos por IFs e demais instituiá‰es de capital aberto autorizadas a funcionar pelo BC. Tendo em vista que as SCDs, como disp‰e a Resoluá∆o 4.656, devem se organizar sob a forma de sociedade anìnima. Essa norma Ç aplic†vel?;O Banco Central do Brasil, na forma do art. 9ß da Lei nß 4.595, de 31 de dezembro de 1964, torna p£blico que o Conselho Monet†rio Nacional, em sess∆o realizada em 27 de novembro de 2019, com base nos arts. 4ß, incisos V, VIII e XXXI, e 57 da referida Lei, no art. 1ß da Lei nß 4.728, de 14 de julho de 1965, no art. 3ß da Lei nß 6.385, de 7 de dezembro de 1976, e tendo em vista o disposto na Lei nß 4.131, de 3 de setembro de 1962, no art. 52 do Ato das Disposiá‰es Constitucionais Transit¢rias da Constituiá∆o da Rep£blica Federativa do Brasil de 1988, na Lei nß 10.303, de 31 de outubro de 2001, e na Lei nß 13.097, de 19 de janeiro de 2015,;;;;;
;Resoluá∆o CMN;nov/19;Resoluá∆o 4.762/19;Altera a Resoluá∆o nß 4.292, de 20 de dezembro de 2013, que disp‰e sobre a portabilidade de operaá‰es de crÇdito.;Portabilidade de CrÇdito;N∆o;N∆o;"Sim
Altera norma aplic†vel";N∆o;Sim;;O Banco Central do Brasil, na forma do art. 9ß da Lei nß 4.595, de 31 de dezembro de 1964, torna p£blico que o Conselho Monet†rio Nacional, em sess∆o realizada em 27 de novembro de 2019, com base nos arts. 4ß, incisos VI e VIII, da referida Lei, 7ß do Decreto-Lei nß 2.291, de 21 de novembro de 1986, 33-E da Lei nß 9.514, de 20 de novembro de 1997, e 95 da Lei nß 13.097, de 19 de janeiro de 2015,;;;;;
;Resoluá∆o CMN;nov/19;Resoluá∆o 4.763/19;"Disp‰e sobre a autorizaá∆o para captaá∆o de dep¢sitos de poupanáa no Émbito do Sistema Brasileiro de Poupanáa e EmprÇstimo (SBPE) pelas cooperativas de crÇdito e altera normas sobre as instituiá‰es integrantes do SBPE, sobre o
cumprimento da exigibilidade de aplicaá∆o dos recursos captados em dep¢sitos de poupanáa e sobre as instituiá‰es autorizadas a emitir Letra Imobili†ria Garantida.";Poupanáa;N∆o;N∆o;N∆o;N∆o;N∆o;;O Banco Central do Brasil, na forma do art. 9ß da Lei nß 4.595, de 31 de dezembro de 1964, torna p£blico que o Conselho Monet†rio Nacional, em sess∆o realizada em 27 de novembro de 2019, com base nos arts. 4ß, incisos VI e VIII, da referida Lei, 91, inciso II, e 95, caput e ı 2ß, inciso I, da Lei nß 13.097, de 19 de janeiro de 2015, e 12, incisos III e V, da Lei Complementar nß 130, de 17 de abril de 2009,;;;;;
;Resoluá∆o CMN;nov/19;Resoluá∆o 4.764/19;Altera a Resoluá∆o nß 4.222, de 23 de maio de 2013, para ajustar a contribuiá∆o adicional das instituiá‰es associadas ao Fundo Garantidor de CrÇditos (FGC).;FGC;N∆o;N∆o;N∆o;N∆o;N∆o;"IPs e SCDs n∆o participam do FGC.

S∆o instituiá‰es associadas ao FGC; Bancos m£ltiplos; Bancos comerciais; Bancos de investimento; Bancos de desenvolvimento; Caixa Econìmica Federal;  As sociedades de crÇdito, financiamento e investimento;  Sociedades de crÇdito imobili†rio; Companhias hipotec†rias; Associaá‰es de poupanáa e emprÇstimo.";O Banco Central do Brasil, na forma do art. 9ß da Lei nß 4.595, de 31 de dezembro de 1964, torna p£blico que o Conselho Monet†rio Nacional, em sess∆o realizada em 27 de novembro de 2019, com base nos arts. 3ß, inciso VI, e 4ß, inciso VIII, da referida Lei, e tendo em conta o disposto no ı 1ß do art. 28 da Lei Complementar nß 101, de 4 de maio de 2000,;;;;;
;Resoluá∆o CMN;nov/19;Resoluá∆o 4.765/19;Disp‰e sobre o cheque especial concedido por instituiá‰es financeiras em conta de dep¢sitos Ö vista titulada por pessoas naturais e por microempreendedores individuais (MEI).;Cheque Especial;N∆o;N∆o;N∆o;N∆o;N∆o;;O Banco Central do Brasil, na forma do art. 9ß da Lei nß 4.595, de 31 de dezembro de 1964, torna p£blico que o Conselho Monet†rio Nacional, em sess∆o realizada em 27 de novembro de 2019, com base no art. 4ß, incisos VI, VIII e IX, da referida Lei,;;;;;
;Circular BCB ;nov/19;Circular 3.970/19;Estabelece os critÇrios gerais de comunicaá∆o eletrìnica de dados no Émbito do Sistema Financeiro Nacional (SFN), disp‰e sobre os requisitos e as vedaá‰es aplic†veis ao Provedor de Serviáos de Tecnologia da Informaá∆o (PSTI) e d† outras providàncias.;SFN;Sim;Sim;Sim;N∆o ;Sim;;A Diretoria Colegiada do Banco Central do Brasil, em sess∆o realizada em 28 de novembro de 2019, com base nos arts. 9ß, 10, inciso IX, e 11, inciso VII, da Lei nß 4.595, de 31 de dezembro de 1964, no art. 10 da Lei nß 10.214, de 27 de maráo de 2001, e nos arts. 4ß, 10 e 11 da Resoluá∆o nß 2.882, de 30 de agosto de 2001,;;;;;
;Comunicado BCB;nov/19;Comunicado 34.785/19;Divulga os componentes prefixados da Taxa de Juros dos Fundos Constitucionais (TFC).;Taxa de Juros;N∆o;N∆o;N∆o;N∆o;N∆o;;;;;;;
;Circular BCB;dez/19;Circular 3.971/19;Altera o Regulamento do Sistema Especial de Liquidaá∆o e de Cust¢dia (Selic), anexo Ö Circular nß 3.587, de 26 de maráo de 2012, para dispor sobre o registro de operaá∆o em data posterior Öquela em que foi realizada (operaá‰es valorizadas).;Selic;N∆o;N∆o;"Sim
Altera norma aplic†vel";N∆o;Sim;;A Diretoria Colegiada do Banco Central do Brasil, em sess∆o realizada em 4 de dezembro de 2019, tendo em vista o disposto no art. 11, inciso VII, da Lei nß 4.595, de 31 de dezembro de 1964, e no art. 10 da Lei nß 10.214, de 27 de maráo de 2001,;;;;;
;Carta Circular BCB;dez/19;Carta Circular 3.988/19;Divulga os hor†rios e os prazos previstos no Regulamento do Sistema Especial de Liquidaá∆o e de Cust¢dia (Selic). ;Selic;REVOGADA;REVOGADA;REVOGADA;REVOGADA;REVOGADA;;O Chefe do Departamento de Operaá‰es do Mercado Aberto (Demab), no uso da atribuiá∆o que confere o art. 23, inciso I, al°nea ?a?, do Regimento Interno do Banco Central do Brasil, anexo Ö Portaria nß 84.287, de 27 de fevereiro de 2015, com base no art. 4ß do Regulamento do Selic, aprovado pela Circular nß 3.587, de 26 de maráo de 2012,;;;;;
;Comunicado BCB;dez/19;Comunicado 34.817/19;Comunica atualizaá∆o na vers∆o 4.14 do Cat†logo de Serviáos do SFN.;Cat†logo de Serviáos do SFN;Sim;Sim;N∆o*;N∆o ;Sim;'Aplic†vel  Ö IP e SCD que possua conta de liquidaá∆o e participe do STR.;;;;;;
;Comunicado BCB;dez/19;Comunicado 34.818/19;Comunica procedimentos e prazos para a vers∆o 5.00, ordin†ria, do Cat†logo de Serviáos do SFN.;Cat†logo de Serviáos do SFN;Sim;Sim;N∆o*;N∆o ;Sim;'Aplic†vel  Ö IP e SCD que possua conta de liquidaá∆o e participe do STR.;;;;;;
;Carta Circular BCB;dez/19;Carta Circular 3.989/19;Altera e consolida os procedimentos e o formato para remessa das informaá‰es di†rias referentes ao total de exposiá∆o em ouro, em moeda estrangeira e em operaá‰es sujeitas Ö variaá∆o cambial e Ö apuraá∆o das respectivas parcelas no c†lculo dos requerimentos m°nimos de Patrimìnio de Referància (PR), de N°vel I, de Capital Principal e de Adicional de Capital Principal, de que tratam as Resoluá‰es ns. 3.488, de 29 de agosto de 2007, e 4.193, de 1ß de maráo de 2013, e a Circular nß 3.742, de 8 de janeiro de 2015, relativos ao documento de c¢digo 2011 - Demonstrativo di†rio de acompanhamento das parcelas de requerimento de capital e dos limites operacionais (DDR).;Contabilidade;N∆o;N∆o;N∆o;;N∆o;;O Chefe do Departamento de Monitoramento do Sistema Financeiro (Desig), no uso da atribuiá∆o que lhe confere o art. 23, inciso I, al°nea ?a?, do Regimento Interno do Banco Central do Brasil, anexo Ö Portaria nß 84.287, de 27 de fevereiro de 2015, com base no art. 77, inciso III, do referido Regimento, e tendo em vista o disposto nas Resoluá‰es ns. 4.553, de 30 de janeiro de 2017, 4.557, de 23 de fevereiro de 2017, e 4.606, de 19 de outubro de 2017, e na Circular nß 3.742, de 8 de janeiro de 2015,;;;;;
;Comunicado BCB;dez/19;Comunicado 34.834/19;Comunica a atualizaá∆o de certificados digitais do Banco Central do Brasil para uso exclusivo nas mensagerias dos dom°nios MES e SPB, no ambiente de produá∆o, na Rede do Sistema Financeiro Nacional (RSFN).;Certificados Digitais;Sim;Sim;Sim;Sim;Sim;"Mavi: A alteraá∆o dos certificados de que trata o presente Comunicado 34.834 n∆o afeta as operaá‰es das instituiá‰es que trafegam mensagens por meio do STA ou do STR-Web. Os certificados digitais s∆o de uso exclusivo dos participantes da RSFN que utilizam o MQ como meio de transmiss∆o de mensagens.

Marina: Ma, consegue checar com o compliance se usamos esse tipo de transmiss∆o de mensagem?

Mavi: Estou aguardando um retorno da Heloisa sobre o assunto.

Compliance - Luiza: A alteraá∆o dos certificados de que trata o presente Comunicado 34.834 n∆o afeta as operaá‰es das instituiá‰es que trafegam mensagens por meio do STA ou do STR-Web. Os certificados digitais s∆o de uso exclusivo dos participantes da RSFN que utilizam o MQ como meio de transmiss∆o de mensagens.";;;;;;
;Comunicado BCB;dez/19;Comunicado 34.836/19;Divulga o cronograma de disponibilizaá∆o de ambiente de homologaá∆o e os critÇrios de participaá∆o nos testes para fins de liquidaá∆o de pagamentos instantÉneos na infraestrutura centralizada de liquidaá∆o, denominada Sistema de Pagamentos InstantÉneos (SPI).;SPI;Sim;Sim;N∆o*;N∆o;Sim;*Aplic†vel caso a SCD administre conta de pagamento.;;;;;;
;Carta Circular BCB;dez/19;Carta Circular 3.990/19;Altera o Manual de Utilizaá∆o do sistema de Controle de Remessa de Documentos (CRD), de que trata a Carta Circular nß 3.644, de 28 de maráo de 2014, para contemplar o novo procedimento de tratamento de qualidade das informaá‰es prestadas pelas Entidades Supervisionadas.;"Controle de Remessa de Documentos
(CRD)";Sim;Sim;Sim;N∆o;Sim;"Todas as instituiá‰es que devem encaminhar algum documento ao Banco Central podem acessar o CRD. Para acess†-lo Ç necess†rio ser credenciado no Sisbacen e estar cadastrado na transaá∆o SCRD002. Como o CRD iniciar† com os documentos do COSIF, todas as instituiá‰es que hoje acessam a transaá∆o PCOS210 do Sisbacen estar∆o automaticamente credenciadas na transaá∆o SCRD002.

Clara Bastos: Aplica-se a SCD, IP Cred e IP EME, por aplicar-se o manual do sistema de controle de remessa de documentos a instituiá‰es sujeitas ao Plano Cont†bil.  ";O Chefe do Departamento de Tecnologia da Informaá∆o (Deinf), no uso das atribuiá‰es que lhe conferem os arts. 23, inciso I, al°nea ?a?, e 62, inciso V, do Regimento Interno do Banco Central do Brasil, anexo Ö Portaria nß 84.287, de 27 de fevereiro de 2015, e o Chefe do Departamento de Monitoramento do Sistema Financeiro (Desig), substituto, no uso das atribuiá‰es que lhe conferem os arts. 23, inciso I, al°nea ?a?, e 77, inciso III, do referido Regimento, e tendo em vista o disposto no art. 2ß da Carta Circular nß 3.644, de 28 de maráo de 2014, e na Portaria nß 95.212, de 16 de outubro de 2017,;;;;;
